Customer_ID,Name,City,Contact_Number,Email,Gender,Address
C001,Tara Krishnan,Panchkula,+917193971454,mandrati@chad.org,Female,"65/04
Dhawan Marg, Rajpur Sonarpur 590551"
C002,Myra Edwin,Bulandshahr,08915420519,yshukla@hotmail.com,Female,"H.No. 78
Sharaf Ganj
Indore 928261"
C003,Jayesh Lanka,Bilaspur,07400208126,kavyabarad@hotmail.com,Male,"H.No. 53, Krishna Ganj, Dhule-346480"
C004,Tarini Bava,Miryalaguda,07232349928,vsen@hotmail.com,Male,"145
Sibal, Rourkela-650344"
C005,Hiran Kaul,Kottayam,02207644242,hanshkapur@buch.biz,Male,"34/168
Sachar Street
Bhatpara 002691"
C006,Rania Mann,Karimnagar,+919363577179,evaswamy@biswas-sekhon.com,Female,"15/89, Dayal Chowk, Rohtak 586046"
C007,Jayant Kamdar,Berhampore,+918576675504,pcontractor@hotmail.com,Male,"H.No. 501
Goswami Path, Bhilwara 482554"
C008,Veer Ray,Chinsurah,7138085704,uthkarshjohal@yahoo.com,Female,"H.No. 589, Gala Circle, Nandyal-774484"
C009,Ritvik Borah,Madurai,1336765676,daliajivika@yahoo.com,Female,"28/64
Lanka Marg, Ramgarh 141634"
C010,Darshit Dave,Kanpur,01608833065,fateh26@hotmail.com,Male,"H.No. 21
Singhal Path
Hindupur 170985"
C011,Lagan Kapoor,Orai,+916173563562,rsidhu@gmail.com,Female,"53/710, Tailor Ganj, Gorakhpur-030540"
C012,Onkar Mangat,Bilaspur,+919921125624,oorjabassi@wali.com,Male,"H.No. 460, Sankar Ganj
Tadipatri 227246"
C013,Manikya Goswami,Mangalore,+912112817503,settytara@gmail.com,Female,"382, Banerjee Ganj
Patna 002103"
C014,Indrans Shukla,Panvel,2717671919,rajagopalfateh@dhingra.info,Female,"67/61, Balan Nagar
Dehri-162882"
C015,Romil Bajwa,Kolkata,+918664164910,taimurkashyap@halder.com,Female,"890, Sathe Circle
Moradabad 800838"
C016,Amani Ganesh,Tenali,08482992702,sumerkaur@yahoo.com,Male,"667
Som Marg
Rajkot 238865"
C017,Advika Dhar,Gangtok,+912738556486,pmaster@deol.com,Male,"80/81, Varghese Chowk, Bidhannagar-928710"
C018,Eva Vaidya,Nizamabad,+919080029661,drishya20@kapadia.com,Male,"34/29
Manne Circle, Ahmedabad 929297"
C019,Amira Sengupta,Danapur,+914513393592,purab20@dhar.com,Male,"77
Dass Street
Sasaram-948992"
C020,Samaira Ganesh,Machilipatnam,01731643700,golesana@varty-gill.com,Male,"12, Khosla Chowk
Gopalpur-059682"
C021,Siya Talwar,Mehsana,+915555408563,hsunder@raman.info,Male,"H.No. 617, Brahmbhatt Path, Madanapalle-879728"
C022,Ivana Rout,Khandwa,+913111711777,adhar@yahoo.com,Male,"24
Babu Nagar, Khammam 703294"
C023,Abram Sandhu,Bidhannagar,7196287267,sibalnitya@bhasin.net,Male,"H.No. 13
Lad Road
Bhiwandi 874382"
C024,Jhanvi Chowdhury,Kavali,+910316756360,magarvardaniya@biswas.com,Female,"827, Shere Nagar, Mangalore 084058"
C025,Ira Bava,Singrauli,+917406193950,rastogizain@yahoo.com,Female,"13/846, Bajaj Road, Nangloi Jat-882740"
C026,Ira Chahal,Farrukhabad,+918716483532,ayeshathakkar@yahoo.com,Female,"37, Bhasin Path, Deoghar-816439"
C027,Kashvi Sur,Serampore,03431035116,edwinkeya@gmail.com,Female,"34, Sanghvi Path
Sikar 774265"
